,Start_date,End_Date,Name,Country,Category,Class,Season,Race_Days,uci_name,continent,name,country,latitude,longitude,Continent
2904,2008-06-19,2008-06-22,Boucles de la Mayenne,FRANCE,ME,2.2,2008,4.0,FRANCE,EUROPE,France,FR,46.227638,2.213749,Europe
2905,2008-06-19,2008-06-22,Route du Sud,FRANCE,ME,2.1,2008,4.0,FRANCE,EUROPE,France,FR,46.227638,2.213749,Europe
2906,2008-06-20,2008-06-22,Internationale Mainfrankentour,GERMANY,MU,2.2U,2008,3.0,GERMANY,EUROPE,Germany,DE,51.165691,10.451526,Europe
2907,2008-06-20,2008-06-22,Giro del Trentino Alto Adige - Südtirol,ITALY,WE,2.1,2008,3.0,ITALY,EUROPE,Italy,IT,41.87194,12.56738,Europe
2908,2008-06-20,2008-06-22,Sparkassen Münsterland Tour,GERMANY,MJ,2.1,2008,3.0,GERMANY,EUROPE,Germany,DE,51.165691,10.451526,Europe
2909,2008-06-22,2008-06-22,Grand Prix of Wales,GREAT BRITAIN,ME,1.2,2008,1.0,GREAT BRITAIN,EUROPE,United Kingdom,GB,55.378051,-3.435973,Europe
2910,2008-06-22,2008-06-22,Trofeo Buffoni,ITALY,MJ,1.1,2008,1.0,ITALY,EUROPE,Italy,IT,41.87194,12.56738,Europe
2911,2008-06-22,2008-06-22,GP Nordjylland,DENMARK,ME,1.2,2008,1.0,DENMARK,EUROPE,Denmark,DK,56.26392,9.501785,Europe
2912,2008-06-19,2008-06-23,Mazandaran Tour,ISLAMIC REPUBLIC OF IRAN,MJ,2.1,2008,5.0,ISLAMIC REPUBLIC OF IRAN,ASIA,Iran,IR,32.427908,53.688046,Asia
2913,2008-06-25,2008-06-25,Internationale Wielertrofee Jong Maar Moedig I.W.T.,BELGIUM,ME,1.2,2008,1.0,BELGIUM,EUROPE,Belgium,BE,50.503887,4.469936,Europe
2914,2008-06-25,2008-06-25,Halle-Ingooigem,BELGIUM,ME,1.1,2008,1.0,BELGIUM,EUROPE,Belgium,BE,50.503887,4.469936,Europe
2915,2008-06-24,2008-06-29,American Eagle Outfitters Tour of Pennsylvania,UNITED STATES OF AMERICA,ME,2.2,2008,6.0,UNITED STATES OF AMERICA,AMERICAS,United States,US,37.09024,-95.712891,Americas
2916,2008-07-01,2008-07-01,Trofeo Citta' di Brescia  Mem. Fiori e Volpi,ITALY,ME,1.2,2008,1.0,ITALY,EUROPE,Italy,IT,41.87194,12.56738,Europe
2917,2008-06-21,2008-07-04,Tour de Korea-Japan,KOREA,ME,2.2,2008,14.0,KOREA,ASIA,South Korea,KR,35.907757,127.766922,Asia
2918,2008-07-05,2008-07-05,Tour du Jura,SWITZERLAND,ME,1.2,2008,1.0,SWITZERLAND,EUROPE,Switzerland,CH,46.818188,8.227512,Europe
2919,2008-07-02,2008-07-06,Course de Solidarnosc et des Champions Olympiques,POLAND,ME,2.1,2008,5.0,POLAND,EUROPE,Poland,PL,51.919438,19.145136,Europe
2920,2008-07-02,2008-07-06,Tre Ciclistica Internazionale Bresciana,ITALY,MJ,2.1,2008,5.0,ITALY,EUROPE,Italy,IT,41.87194,12.56738,Europe
2921,2008-07-06,2008-07-06,Giro Valli Aretine - GP Città di Arezzo,ITALY,ME,1.2,2008,1.0,ITALY,EUROPE,Italy,IT,41.87194,12.56738,Europe
2922,2008-07-06,2008-07-06,De Drie Zustersteden - Willebroek,BELGIUM,ME,1.2,2008,1.0,BELGIUM,EUROPE,Belgium,BE,50.503887,4.469936,Europe
2923,2008-07-06,2008-07-06,Tour du Doubs,FRANCE,ME,1.1,2008,1.0,FRANCE,EUROPE,France,FR,46.227638,2.213749,Europe
2924,2008-07-04,2008-07-07,Sint-Martinusprijs Kontich,BELGIUM,MJ,2.1,2008,4.0,BELGIUM,EUROPE,Belgium,BE,50.503887,4.469936,Europe
2925,2008-07-09,2008-07-09,Prova Ciclistica 9 de Julho,BRAZIL,ME,1.2,2008,1.0,BRAZIL,AMERICAS,Brazil,BR,-14.235004,-51.92528,Americas
2926,2008-07-11,2008-07-11,Gent - Menen,BELGIUM,MJ,1.1,2008,1.0,BELGIUM,EUROPE,Belgium,BE,50.503887,4.469936,Europe
2927,2008-07-10,2008-07-12,GP Cycliste de Gemenc,HUNGARY,ME,2.2,2008,3.0,HUNGARY,EUROPE,Hungary,HU,47.162494,19.503304,Europe
