,Start_date,End_Date,Name,Country,Category,Class,Season,Race_Days,Continent
2910,2012-01-05,2012-01-15,Vuelta ciclista de chile,CHILE,ME,2.2,2012,11.0,Americas
2912,2012-01-13,2012-01-22,Vuelta al Tachira en Bicicleta,BOLIVARIAN REPUBLIC OF VENEZUELA,ME,2.2,2012,10.0,Americas
2913,2012-01-17,2012-01-22,Tour Down Under,AUSTRALIA,ME,2.UWT,2012,6.0,Oceania
2914,2012-01-23,2012-01-29,Tour de San Luis,ARGENTINA,ME,2.1,2012,7.0,Americas
2915,2012-01-25,2012-01-29,New Zealand Cycle Classic,NEW ZEALAND,ME,2.2,2012,5.0,Oceania
2916,2012-01-29,2012-01-29,Grand Prix Cycliste la Marseillaise,FRANCE,ME,1.1,2012,1.0,Europe
2917,2012-02-01,2012-02-03,Ladies Tour of Qatar,QATAR,WE,2.1,2012,3.0,Asia
2918,2012-02-04,2012-02-04,G.P. Costa degli Etruschi,ITALY,ME,1.1,2012,1.0,Europe
2919,2012-02-01,2012-02-05,Etoile de Bessèges,FRANCE,ME,2.1,2012,5.0,Europe
2920,2012-02-05,2012-02-05,Trofeo Palma,SPAIN,ME,1.1,2012,1.0,Europe
2921,2012-02-06,2012-02-06,Trofeo Migjorn,SPAIN,ME,1.1,2012,1.0,Europe
2922,2012-02-07,2012-02-07,Trofeo Deià,SPAIN,ME,1.1,2012,1.0,Europe
2923,2012-02-08,2012-02-08,Trofeo Serra de Tramuntana,SPAIN,ME,1.1,2012,1.0,Europe
2924,2012-02-05,2012-02-10,Tour of Qatar,QATAR,ME,2.HC,2012,6.0,Asia
2925,2012-02-08,2012-02-12,Tour Méditerranéen,FRANCE,ME,2.1,2012,5.0,Europe
2926,2012-02-11,2012-02-12,Giro della Provincia di Reggio Calabria-Challenge Calabria,ITALY,ME,2.1,2012,2.0,Europe
2932,2012-02-16,2012-02-16,Les challenges de la Marche verte - GP Sakia El Hamra,MOROCCO,ME,1.2,2012,1.0,Africas
2936,2012-02-17,2012-02-17,Les challenges de la Marche verte - GP Oued Eddahab,MOROCCO,ME,1.2,2012,1.0,Africas
2939,2012-02-18,2012-02-18,Trofeo Laigueglia,ITALY,ME,1.1,2012,1.0,Europe
2940,2012-02-18,2012-02-18,Les challenges de la Marche verte - GP Al Massira,MOROCCO,ME,1.2,2012,1.0,Africas
2941,2012-02-14,2012-02-19,Tour of Oman,OMAN,ME,2.HC,2012,6.0,Asia
2942,2012-02-15,2012-02-19,Volta ao Algarve,PORTUGAL,ME,2.1,2012,5.0,Europe
2943,2012-02-18,2012-02-19,Tour Cycliste International du Haut Var,FRANCE,ME,2.1,2012,2.0,Europe
2944,2012-02-19,2012-02-23,Vuelta a Andalucia  Ruta Ciclista Del Sol,SPAIN,ME,2.1,2012,5.0,Europe
2945,2012-02-25,2012-02-25,Beverbeek Classic,BELGIUM,ME,1.2,2012,1.0,Europe
2946,2012-02-25,2012-02-25,Omloop Het Nieuwsblad Elite,BELGIUM,ME,1.HC,2012,1.0,Europe
2947,2012-02-25,2012-02-25,Ster van Zwolle,NETHERLANDS,ME,1.2,2012,1.0,Europe
2948,2012-02-25,2012-02-25,Omloop Het Nieuwsblad-vrouwen elite / Circuit Het Nieuwsblad-Femmes Elite,BELGIUM,WE,1.2,2012,1.0,Europe
2949,2012-02-21,2012-02-26,Rutas de América,URUGUAY,ME,2.2,2012,6.0,Americas
2950,2012-02-22,2012-02-26,Women's Tour of New Zealand,NEW ZEALAND,WE,2.2,2012,5.0,Oceania
2951,2012-02-26,2012-02-26,Clasica de Almeria,SPAIN,ME,1.HC,2012,1.0,Europe
2952,2012-02-26,2012-02-26,G.P. Città di Lugano,SWITZERLAND,ME,1.1,2012,1.0,Europe
2953,2012-02-26,2012-02-26,Les Boucles du Sud Ardèche - Souvenir Francis Delpech,FRANCE,ME,1.1,2012,1.0,Europe
2954,2012-02-26,2012-02-26,Kuurne-Brussel-Kuurne,BELGIUM,ME,1.1,2012,1.0,Europe
2955,2012-02-26,2012-02-26,Kuurne-Brussel-Kuurne Juniors,BELGIUM,MJ,1.1,2012,1.0,Europe
2956,2012-02-19,2012-02-27,Vuelta Independencia Nacional,DOMINICAN REPUBLIC,ME,2.2,2012,9.0,Americas
2957,2012-02-29,2012-02-29,Le Samyn des Dames,BELGIUM,WE,1.2,2012,1.0,Europe
2958,2012-02-29,2012-02-29,Le Samyn,BELGIUM,ME,1.1,2012,1.0,Europe
2961,2012-03-03,2012-03-03,Strade Bianche,ITALY,ME,1.1,2012,1.0,Europe
2962,2012-03-03,2012-03-03,De Vlaamse Pijl - Stannah,BELGIUM,ME,1.2,2012,1.0,Europe
2963,2012-02-24,2012-03-04,Le Tour de Langkawi,MALAYSIA,ME,2.HC,2012,10.0,Asia
2964,2012-03-02,2012-03-04,Driedaagse van West-Vlaanderen,BELGIUM,ME,2.1,2012,3.0,Europe
2965,2012-03-03,2012-03-04,Vuelta Ciclista a Murcia,SPAIN,ME,2.1,2012,2.0,Europe
2966,2012-03-04,2012-03-04,Grand Prix de la Ville de Lillers Souvenir Bruno Comini,FRANCE,ME,1.2,2012,1.0,Europe
2967,2012-03-04,2012-03-04,Trofeo Zssdi - Unione dei Circoli sportivi,ITALY,ME,1.2,2012,1.0,Europe
2968,2012-03-04,2012-03-04,Omloop van het Hageland - Tielt-Winge,BELGIUM,WE,1.2,2012,1.0,Europe
2969,2012-03-08,2012-03-08,Drentse 8,NETHERLANDS,WE,1.1,2012,1.0,Europe
2971,2012-03-09,2012-03-09,Dwars door Drenthe,NETHERLANDS,ME,1.1,2012,1.0,Europe
2973,2012-03-10,2012-03-10,Albert Achterhes Ronde van Drenthe,NETHERLANDS,ME,1.1,2012,1.0,Europe
2974,2012-03-10,2012-03-10,Ronde van Drenthe,NETHERLANDS,WE,CDM,2012,1.0,Europe
2975,2012-03-04,2012-03-11,Paris - Nice,FRANCE,ME,2.UWT,2012,8.0,Europe
2976,2012-03-11,2012-03-11,Porec Trophy - Trofej Porec,CROATIA,ME,1.2,2012,1.0,Europe
2977,2012-03-11,2012-03-11,Omloop van het Waasland,BELGIUM,ME,1.2,2012,1.0,Europe
2978,2012-03-11,2012-03-11,Trofeo Franco Balestra Memorial Metelli,ITALY,ME,1.2,2012,1.0,Europe
2980,2012-03-11,2012-03-11,Kattekoers (Deinze-Ieper),BELGIUM,ME,1.2,2012,1.0,Europe
2981,2012-03-11,2012-03-11,Rabobank Dorpenomloop Rucphen,NETHERLANDS,ME,1.2,2012,1.0,Europe
2982,2012-03-11,2012-03-11,Novilon Euregio Cup.,NETHERLANDS,WE,1.1,2012,1.0,Europe
2984,2012-03-11,2012-03-11,Paris-Troyes,FRANCE,ME,1.2,2012,1.0,Europe
2985,2012-03-07,2012-03-13,Tirreno-Adriatico,ITALY,ME,2.UWT,2012,7.0,Europe
2987,2012-03-10,2012-03-14,Tour d'Algérie,ALGERIA,ME,2.2,2012,5.0,Africas
2988,2012-03-14,2012-03-14,Nokere-Koerse,BELGIUM,ME,1.1,2012,1.0,Europe
2989,2012-03-15,2012-03-15,Grand Prix el Salvador,EL SALVADOR,WE,1.1,2012,1.0,Americas
2990,2012-03-10,2012-03-16,Tour de Taiwan,CHINESE TAIPEI,ME,2.1,2012,7.0,Asia
2994,2012-03-16,2012-03-16,Circuit d'Alger,ALGERIA,ME,1.2,2012,1.0,Africas
2995,2012-03-16,2012-03-16,Handzame Classic,BELGIUM,ME,1.1,2012,1.0,Europe
2997,2012-03-08,2012-03-17,Tour du Cameroun,CAMEROON,ME,2.2,2012,10.0,Africas
2999,2012-03-17,2012-03-17,Classic Loire Atlantique,FRANCE,ME,1.1,2012,1.0,Europe
3000,2012-03-17,2012-03-17,Milano-Sanremo,ITALY,ME,1.UWT,2012,1.0,Europe
3002,2012-03-17,2012-03-17,Classica Citta di Padova,ITALY,WE,1.2,2012,1.0,Europe
3003,2012-03-15,2012-03-18,Istarsko proljece - Istrian Spring Trophy,CROATIA,ME,2.2,2012,4.0,Europe
3004,2012-03-18,2012-03-18,Cholet - Pays De Loire,FRANCE,ME,1.1,2012,1.0,Europe
3006,2012-03-18,2012-03-18,La Roue Tourangelle Région Centre - Classic Loire Touraine Vignobles & Chateaux,FRANCE,ME,1.2,2012,1.0,Europe
